Area,Total,Mining and Logging,Construction,Manufacturing,"Trade, transportation and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
Jackson,282.4,1.2,10.3,20.6,53,3.7,15.7,35.7,44.6,26.5,13.8,57.3
,,,,,,,,,,,,
Missouri,2860.5,4.1,113.1,269.4,543.6,52.2,174.6,390,473.4,284.6,114.6,440.9
Cape Girardeau(2),44.9,–,–,–,–,–,–,–,–,–,–,6.6
Columbia(2),99.5,–,–,–,15.2,–,–,–,–,–,–,30.2
Jefferson City(2),75.9,–,–,–,14.1,–,–,–,–,–,–,24.4
Joplin(2),81.4,–,–,12.8,20.4,–,–,–,13.1,–,–,10.4
Kansas City(1),1080.7,–,47.6,75.8,214.4,17.3,79.6,191.9,151.7,103.7,43.2,155.5
St. Joseph(2),64.2,–,–,–,10.8,–,–,–,–,–,–,12
St. Louis(1)(4),1366.1,–,61.1,115.5,257.6,27.6,88.3,212.6,256.9,142.3,50.8,153.4
Springfield(1),213,–,8.8,15.9,48,4.1,11.9,25.7,38.1,21,8.9,30.6
,,,,,,,,,,,,
Montana,465.5,6.7,24.2,19.7,92.2,6.5,24.1,41,77,63.1,18.8,92.2
Billings(2),83.6,–,–,–,20.5,–,–,9,15,11.5,–,9.8
Great Falls(2),35.3,–,–,–,8,–,–,2.9,7.4,4.5,–,5.7
Missoula(2),60.7,–,–,–,12.5,–,–,6.3,10.9,8,–,11.4
,,,,,,,,,,,,
Nebraska,1006.7,1,44.3,99.5,200.7,17.5,73.9,115.6,155.7,89.4,35.8,173.3
Grand Island(2),41.8,–,–,–,–,–,–,–,–,–,–,6.8
Lincoln(1),186.7,–,8.8,13.1,33.4,3.2,14.7,18.8,28.6,18.4,7.1,40.6
Omaha-Council Bluffs(1),494,–,25.7,34.3,95.6,11.4,43.6,70.2,80.6,47.8,17.8,67
,,,,,,,,,,,,
Nevada,1356.9,14.2,86.3,51.5,249.8,14.2,65.3,182.2,137.3,348.4,41.6,166.1
Carson City(2),30.6,–,–,2.7,4.2,–,–,2,–,3.6,–,10
Las Vegas-Henderson-Paradise,987.8,0.4,63,23.4,174.8,10.8,50.9,138.6,99,288.2,31.8,106.9
Reno,234.1,0.3,15.9,19.7,52.4,2.2,10.5,30.6,26.3,37.7,6.4,32.1
,,,,,,,,,,,,
New Hampshire,672.3,0.8,25.5,69.6,138.8,12.4,35.1,79.3,126.2,67.1,24.1,93.4
Dover-Durham(1),54.4,–,1.6,5.4,8.9,1,3.1,5.3,8.5,4.8,1.9,13.9
Manchester(1),111,–,4.9,7.7,20.1,3.6,8.4,15.9,24.5,9.3,4.7,11.9
Portsmouth(1),91.3,–,2.5,8.8,17,2.8,5.3,13.4,15.1,9.8,2.6,14
,,,,,,,,,,,,
New Jersey,4098.9,1.3,144.4,246.9,888,69.8,245.8,653,710.8,341.9,171.8,625.2
Atlantic City-Hammonton(1),126.6,–,5.3,2.2,21,0.7,3.7,10.4,21.3,34.3,5.4,22.3
Ocean City(2),35.3,–,–,–,6.5,–,–,–,4.8,5.7,–,8.1
Trenton(1),269.4,–,5.2,8.6,40,5.1,18.7,42.3,48.5,16.2,10.4,74.4
Vineland-Bridgeton(1),59.1,–,2.6,9.4,13.2,0.5,1.2,4,11,3.7,2.1,11.4
,,,,,,,,,,,,
New Mexico,835.7,20.7,46.8,26.9,136,11.4,35.1,104.3,140.1,95.9,27.9,190.6
Albuquerque(1),391.7,–,23.8,15.7,62.7,7.4,19.5,60.9,63.9,42.9,11.8,83.1
Farmington(2),49.1,–,–,–,–,–,–,–,–,–,–,11.3
Las Cruces(1),70.1,–,3.6,2.3,10.6,0.6,2.6,6.3,15.8,8,1.4,18.9
Santa Fe(1),63.2,–,2.8,0.9,9.7,0.8,2.4,4.9,11.5,10.5,3.1,16.6
,,,,,,,,,,,,
New York,9459.1,4.5,360,438.6,1550.9,264.3,717.1,1311.2,2046.2,896.2,413.3,1456.8
